Class,MIC_GOWAWA[0.6;1;S-OWA;1.0;0.0;2;W-OWA;0.9;1.0]_H_cdch,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_cdch,TS[1]_SIC_T_scm,GV[4]_CHOQUET[A;-0.75;AO1;0.9]_H_pah,GV[1]_HM_H_pah,TS[3]_CHOQUET[A;-0.75;AO2;0.0]_N_scm,TS[4]_V_U_z3,TS[1]_CHOQUET[D;-0.75;AO1;1.0]_C_pie,GV[2]_CHOQUET[A;-0.75;AO1;0.3]_H_eps,GV[2]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_N_pie,AC[7]_HM_U_mw,GV[2]_GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_eps,GV[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,TS[4]_GOWAWA[0.7;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_N_scv,GV[3]_GOWAWA[0.1;0;W-OWA;0.1;0.6;2;W-OWA;0.1;0.2]_U_pie,GV[2]_CHOQUET[A;-0.75;AO1;0.2]_U_pbs,ES_SD_H_z2,AC[1]_CHOQUET[A;-0.75;AO1;0.2]_H_pah,CHOQUET[A;-0.75;AO1;0.9]_U_pbs,AC[1]_CHOQUET[A;0.5;AO2;0.5]_F_z3,AC[4]_AM_T_hwhh,AC[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,GV[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_pah,TS[2]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_U_isa,GV[4]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_T_eps,GV[1]_P2_U_pbs,TS[3]_I50_F_mw,AC[2]_CHOQUET[A;-0.5;AO1;0.2]_U_pbs,AC[2]_SIC_T_scv,GV[2]_N2_B_gcp1,GV[3]_AM_U_z2,TS[2]_Q1_T_eps,CHOQUET[D;-0.25;AO1;0.8]_B_scv,TS[2]_SIC_T_cch,TS[2]_GOWAWA[0.5;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_F_cdch,GV[2]_CHOQUET[A;-0.75;AO2;0.7]_N_gcp1,AC[1]_HM_H_pah,CHOQUET[D;-0.75;AO1;0.9]_B_isa,ES_VC_T_gcp2,TS[4]_GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_N_hwhh,AC[3]_HM_T_pie,TS[3]_GOWAWA[0.7;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_D_bi,ES_Q2_A_khh,SD_P_scv,CHOQUET[D;-0.25;AO1;0.8]_P_isa,TS[3]_GOWAWA[0.7;1;S-OWA;0.8;0.2;1;ES2-OWA;0.9;0.0]_C_gcp1,AC[5]_P3_U_khh,ES_Q3_F_pah,SIC_T_ptt,TS[3]_HM_U_khh,GV[7]_P2_T_z3,AC[1]_CHOQUET[A;-0.75;AO1;0.3]_A_pie,GV[5]_HM_H_mw,TS[3]_CHOQUET[A;-0.75;AO1;0.3]_F_scm,GV[3]_GOWAWA[0.4;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_scv,GV[3]_CHOQUET[A;-0.5;AO1;0.3]_U_gcp1,GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.7;0.8]_F_ptt,GV[2]_N3_P_z3,AC[7]_P2_T_z3,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pah,ES_Q3_U_pie,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_H_cch,TS[3]_AM_F_z1,AC[4]_GOWAWA[0.8;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_hwhh,AC[3]_N3_U_hwhh,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,MIC_SD_C_hwhh,GV[3]_CHOQUET[A;-0.75;AO2;0.7]_T_khh,AC[4]_N3_A_khh,GV[2]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,GV[4]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_A_scm,CHOQUET[A;-0.75;AO1;1.0]_F_khh,TS[2]_CHOQUET[A;-0.25;AO2;1.0]_T_khh,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_scm,GOWAWA[0.3;2;S-OWA;0.6;0.0;2;W-OWA;0.9;1.0]_U_cch,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[4]_P2_P_ptt,SIC_T_scm,TS[4]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.7]_H_pie,ES_Q3_C_cdch,TS[3]_GOWAWA[0.2;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,AC[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_B_pbs,TS[4]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_T_cch,GV[1]_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.2;0.3]_T_isa,AC[7]_P3_U_ptt,AC[2]_CHOQUET[A;-0.25;AO1;0.8]_H_pah,GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_ptt,AC[1]_AM_T_kh,SIC_F_hwhh,GV[3]_P2_T_eps,TS[3]_Q1_T_eps,CHOQUET[A;-0.5;AO2;0.0]_N_isa,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw
APP,0.509486655,1,0.865656813,0.373546871,1.478894075,8.64909699,3.887889403,14.65477378,92503.88498,0,9984.429244,82937.60884,0.47543988,87.14578132,0,0.409225639,1.823564106,1.410515414,0.831170761,0.300197523,0.216578947,1.42631964,0.413917445,39.86,48508.37473,0.786233741,97.1167,0.832611022,0.867225459,219.2418,0.14431453,-901.8675,203.1462579,0.208765567,0,0,1.478894075,177.4350204,4.407406003,0.172320481,0.271953923,36.40423333,0.077395725,-0.08722426,74.85616824,161.1456874,22.75868983,0.578347489,0.796085093,0.668141112,0.731940265,0.924150384,38.32160162,3001.756538,104.4669985,2080.254751,116.8038974,0.603024119,-1.041265268,6.469052686,1.79,8.780503245,0,0.894358974,0,2.3,7.665241084,6.806763267,0.148678994,0.179046338,0.555598275,0.704752742,3397.465397,0.819729528,1.99866897,59.47940864,0.645569539,58.1478,1.451331285,0.638601926,4.864161027,1.65973395,0.28160099,1.175234352,0.46883835,11916.9425,1.123843153,1.435368403,0.630571174,0,0.119096554,62822.3842,-896.24,1.174611993,74.2255273
APP,0.319723554,2,0.917811473,0.419759919,1.805081664,16.48453654,0.323378125,13.45590119,93568.35612,0,16684.82669,95922.77202,0.579642767,126.0005661,0,0.458853909,1.616256122,1.78116498,0.955755146,0.457800448,0.7171875,1.7389283,0.480703473,151.69,49562.39565,1.387725207,114.5962,0.962860512,0.919062857,0,-0.030611111,-933.47,181.2896108,0.240011146,0.554651896,0,1.805081664,137.4327383,8.020245054,0.148857373,0.395555126,30.32307813,0.006426511,-0.177600742,64.50909195,127.0439347,12.52685917,1.191105513,0.684626082,0.729393625,1.017221125,0.325162614,36.28943851,1643.127594,134.916065,1927.384501,124.166,0.045855027,0.504700087,2.2761383,1.68,9.441961339,0,1.106666667,0.480917999,-0.08,8.57,0,0.129288374,0.223887812,0.888056057,0.883010523,3893.658028,0.904063826,2.111711488,66.5,0.238746728,33.2242,1.370243287,0.693099914,5.325897763,-0.042379696,0.17284582,0,0.536870314,2026.624049,1.346179491,1.814380414,0,0.057142857,0.1960106,67241.03692,-930.135,2.108272092,82.80440688
APP,0.360936636,2,0.895530442,0.430263754,1.934276888,17.00212913,0.367682258,13.41517424,95415.2637,0,16883.14573,95694.30599,0.562591362,136.3854677,0,0.513015688,1.530642855,1.893729247,0.953438187,0.340761762,0.7978125,1.687774087,0.480378565,151.69,51001.66677,0,105.61025,1.038826428,0.937823581,144.5745,-0.030611111,-930.1775,172.2685553,0.240011146,0.566159178,0,1.934276888,131.5179785,6.061810723,0.095707368,0.395555126,30.98901509,0.006426511,-0.183613622,66.59801275,131.5871404,12.51795953,1.202495084,0.75089403,0.74682947,1.021288769,0.314845746,37.65665517,2709.654049,119.9184511,1927.384501,124.166,0.044926571,2.493411722,2.203920224,1.68,9.953349991,0.5,0.687878788,0.721292216,-0.08,9.275,6.638755633,0.129288374,0.214363832,0.689580521,0.86005755,4423.58497,0.848162277,2.12429952,73,0.238746728,33.2242,1.362385862,0.699789848,8.65957953,-0.042379696,0.143885259,1.364710115,0.525576412,2092.925694,1.253141127,1.774022681,0,0.057142857,0.153329188,67476.92689,-935.305,2.458200663,79.69747625
APP,0,2,0.459523691,0,0,0,0.04129,20.63249018,0,0,4967.976759,0,0,0,0,0,0,0,0.930193448,0.006627677,3.24,0,0,0,42331.88918,0.8464,57.0519,0,0.453509509,0,0,-824.07,140,0.256152145,0,0,0,120.91,3.824524052,0.1573295,0,80.067036,0.105187993,-0.076943485,37.41657387,120.91,29.46035553,0,0.212236454,0.339262302,0.726495726,1.301404169,35.6409,0,81.49921365,0,0,1.295433657,0,9.109829186,1.92,2.215240854,0,0.989090909,0,0,0,0,0.119963262,0.391739791,0,0,0,0.81559322,2.785626797,0,0.243193045,64.2372,0.45,0.339262302,0,1.261191683,0.2365272,0,0.47368855,2136.852028,2.1812,0,0,0.615384615,0.097503998,56445.91808,-824.07,0,55.04033624
APP,0.482636539,2,0.836100968,0.346549842,1.565234642,8.596612105,5.048520783,16.57998177,95190.62004,0,9218.345921,92930.72077,0.478543498,121.6974962,0,0.381818448,1.665542886,1.533657849,0.850063291,0.01212631,-0.212564103,1.435630493,0.575621819,96.38,46195.23928,0.876605878,87.0782,0.82190434,0.963580017,263.0056349,0.116381667,-926.07,163.3911044,0.210010544,0.570817384,0,1.565234642,143.0765114,13.73002812,0.193189663,0.267997832,33.98353248,0.069263377,-0.119143724,63.79830873,136.4961288,21.59931745,0.814184403,1.027516159,0.687164484,0.909313417,0.854210054,35.78032952,2288.118498,103.0236571,2786.465112,118.5493588,0.87844481,0.83205,5.979470376,1.62,8.209832279,0,1.36675,0.072774841,-0.390157727,0,7.987042406,0.163050282,0.181848479,0.370454974,0.713425063,3460.628967,0.89719162,2.076064185,0,0.530437792,27.4287,0.784449832,0.652698855,9.470330312,-0.041119005,0.295198145,2.027466415,0.630683845,5240.949393,1.413306967,1.482564381,0,0.023809524,0.175929797,65676.19952,-913.9975,1.286555158,77.6199114
APP,0,1,0.842328277,0,0,0,0,16.67208791,0,0,0,0,0.559,0,0,0,1.180533479,0,0,0,0.86875,1.677,0,0,46838.16655,0,0,0,0.736451625,244.9416434,0,-882.66,171.9578327,0,0,0,0,155.4768582,-19.09658887,0,0,46.21034827,0,0.518326929,82.2957246,141.5108517,22.03696794,0,0,0.657019018,0,0.515819178,35.91566135,0,0,0,0,0,1.111791709,3.610734247,1.93,0,0,0,0,0,0,9.973621627,0.097825277,0.151712565,0.379519593,0,3662.819715,0,2.121883483,0,0,115.7776,0.943027041,0.592980982,0,1.430827189,0,2.026949513,0,17374.83031,0,0,0,0.090909091,0,60620.65454,-883.25,0,0
APP,0.502724222,1,0.856725557,0.403786925,1.660275714,0,0.050624111,15.61396923,96590.93677,0,0,0,0.545861201,0,0,0,2.335025035,1.610388671,0.930678202,0.025932976,-0.11173913,1.637583602,0,0,48248.30885,0,57.0519,0,0.831951945,185.5944,0,-882.94,147.039014,0.136591128,0,0,1.660275714,134.4500227,-5.179377936,0.086349931,0,44.75879522,0.053563007,0.664162098,70.69775159,125.4901636,12.22870439,0,-0.046890612,0.610412464,0.78807947,0.529769316,35.45319073,1912.423795,85.18132959,0,0,0.793638706,-1.058239109,3.70838521,2.05,-0.40969779,0,0.565833333,0,0,0,7.459861362,0.130252733,0.149676013,0.945511813,0.814583697,4539.812926,0.791099095,1.673388752,0,0.238047614,58.6348,1.002827581,0.585135452,12.597107,1.553919452,0.129817405,1.958625041,0.269154807,9171.952411,0,1.654504059,0,0.076923077,0.080116845,64929.69718,-883.285,0,64.82833261
APP,0.425253961,1,0.859990143,0.397088542,1.617511534,14.01388889,3.483121462,10.40424912,97106.05506,0.071146881,6388.255526,88674.48982,0.513133841,108.046584,0,0.390532908,1.694218534,1.540650551,0.859602078,0.265083214,0.56106383,1.539401523,0.638658223,0,46841.88892,0.902988847,97.1167,0.812769303,0.921816975,260.8877808,0.432225,-915.435,150.8262952,0.198095373,0.350353483,66.58582355,1.617511534,132.2449799,12.03733532,0.123730651,0.363230923,30.42672305,0.073245909,-0.111321386,66.70358158,127.0583449,11.16862174,0.504403582,0.951500287,0.697684,0.864079978,0.482427945,34.99150527,2209.237129,96.52779652,2039.134098,114.4353349,0.62699938,-1.599962401,3.376995618,1.48,9.325532003,0,0.65875,0.720193955,-0.462369625,0,7.493841296,0.114109987,0.174856247,1.082943983,0.757465758,3918.093397,0.794162444,2.133006658,0,0.2413199,63.1612,1.484107164,0.667421026,6.172139869,-0.037674227,0.117672603,1.897820601,0.528019458,3029.449314,1.773375922,1.645118103,0,-0.02,0.105273484,66571.95738,-916.765,2.037130458,73.87670333
APP,0.509906219,1,0.850548659,0.399460745,1.636540246,0,0.159840711,15.22325926,99007.35469,0,0,0,0.52639767,0,0,0,2.466447673,1.596525532,0.875718168,0,0.143913043,1.57919301,0,0,49036.61107,0,0,0,0.786773005,0,0,-895.24,140,0.113991658,0,0,1.636540246,120.91,-3.731121004,0.079995449,0,44.88386402,0.04786294,0.590449751,70.93075252,125.1979841,21.78627201,1.034625085,-0.040520833,0.55430436,0.865005192,0.582638477,35.44018019,1858.71195,83.70180581,0,0,0.045518758,0.26174027,4.07846934,2.52,-0.393625638,0,0.442083333,0,0,0,0,0.11541188,0.153653605,0.893257388,0.804827411,3585.982399,0.81559322,1.703787168,0,0.238047614,58.5374,0.877914195,0.55430436,10.96023739,1.769266125,0.119917367,0,0.25288101,9341.492952,0,1.627371507,0,0.076923077,0.048063838,66066.11327,-893.94,0,51.1318824
APP,0.50839072,2,0.854597139,0.459469084,1.689210672,0,0.49221619,10.29203574,105410.7394,0,20907.8551,98507.12462,0.581523637,0,0,0.626196053,1.271536543,1.658818235,0.925144718,0,0.476666667,1.744570912,0.474763369,78.97,50498.17246,1,0,1.252392106,0.935075331,465.1736904,0.004960606,-931.64,169.8543811,0,0,0,1.689210672,159.3684999,-61.82354627,0,0,38.3690664,0,-0.078399961,86.4332841,151.4601779,11.56501636,1.19,-0.003423785,0.728589571,1.389153684,0.286693787,35.85028703,3042.301471,105,2435.975337,103.0819697,0.636063128,1.086807443,2.006856512,2.5,9.810739921,0,0.178181818,0,-0.136369239,0,10.6205445,0.149711777,0.144991558,0.27831656,0.836457158,3877.213172,1,1.939963213,0,0,32.431,0.669685708,0.681130952,5.148844569,-0.043684886,0,2.025859931,0,6463.82504,1.0185,1.699799577,0,0,0.052174783,69478.93356,-979.235,0,55.50262963
